Timestamp,BuildingID,DeviceID,Location,MetricType,Value,Unit,Status
2025-11-11 17:36:24.407284,BLD-MAR-003,EM-05B-G1,"Floor 2, Server Room",ActivePower_kW,4.53,kW,OK
2025-11-11 17:37:50.807284,BLD-LYO-002,EM-04A-F3,"Floor 3, Meeting Room",Current_A,4.24,A,OK
2025-11-11 17:39:17.207284,BLD-PAR-001,LIGHT-02D-I4,"Floor 2, Server Room",Occupancy_Status,1.0,boolean,OK
2025-11-11 17:40:43.607284,BLD-LYO-002,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,1.0,boolean,Warning
2025-11-11 17:42:10.007284,BLD-LYO-002,HVAC-01C-H2,"Floor 1, Office A",Temperature_C,22.3,C,OK
2025-11-11 17:43:36.407284,BLD-LYO-002,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,0.0,boolean,OK
2025-11-11 17:45:02.807284,BLD-LYO-002,EM-04A-F3,"Floor 2, Server Room",ActivePower_kW,3.22,kW,OK
2025-11-11 17:46:29.207284,BLD-LYO-002,EM-04A-F3,"Floor 3, Meeting Room",ActivePower_kW,4.68,kW,OK
2025-11-11 17:47:55.607284,BLD-LYO-002,EM-04A-F3,"Floor 2, Server Room",Current_A,4.93,A,OK
2025-11-11 17:49:22.007284,BLD-PAR-001,HVAC-01C-H2,"Basement, HVAC Unit",Temperature_C,22.1,C,OK
2025-11-11 17:50:48.407284,BLD-LYO-002,EM-04A-F3,"Floor 1, Office A",ActivePower_kW,4.41,kW,OK
2025-11-11 17:52:14.807284,BLD-PAR-001,EM-04A-F3,"Floor 1, Office A",Current_A,11.18,A,OK
2025-11-11 17:53:41.207284,BLD-MAR-003,LIGHT-02D-I4,"Basement, HVAC Unit",Occupancy_Status,0.0,boolean,OK
2025-11-11 17:55:07.607284,BLD-LYO-002,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,1.0,boolean,OK
2025-11-11 17:56:34.007284,BLD-PAR-001,LIGHT-02D-I4,"Floor 2, Server Room",Occupancy_Status,1.0,boolean,OK
2025-11-11 17:58:00.407284,BLD-MAR-003,EM-04A-F3,"Floor 3, Meeting Room",Current_A,7.41,A,OK
2025-11-11 17:59:26.807284,BLD-PAR-001,HVAC-01C-H2,"Basement, HVAC Unit",Temperature_C,20.7,C,OK
2025-11-11 18:00:53.207284,BLD-PAR-001,EM-04A-F3,"Floor 1, Office A",ActivePower_kW,1.18,kW,OK
2025-11-11 18:02:19.607284,BLD-PAR-001,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,0.0,boolean,OK
2025-11-11 18:03:46.007284,BLD-PAR-001,EM-04A-F3,"Floor 2, Server Room",ActivePower_kW,3.65,kW,OK
2025-11-11 18:05:12.407284,BLD-PAR-001,EM-04A-F3,"Basement, HVAC Unit",Current_A,8.93,A,OK
2025-11-11 18:06:38.807284,BLD-PAR-001,EM-04A-F3,"Floor 3, Meeting Room",Current_A,2.89,A,OK
2025-11-11 18:08:05.207284,BLD-MAR-003,EM-04A-F3,"Basement, HVAC Unit",ActivePower_kW,4.05,kW,OK
2025-11-11 18:09:31.607284,BLD-PAR-001,EM-05B-G1,"Floor 1, Office A",Current_A,8.15,A,Warning
2025-11-11 18:10:58.007284,BLD-MAR-003,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,0.0,boolean,OK
2025-11-11 18:12:24.407284,BLD-PAR-001,EM-05B-G1,"Floor 2, Server Room",Current_A,6.29,A,OK
2025-11-11 18:13:50.807284,BLD-LYO-002,EM-04A-F3,"Floor 1, Office A",ActivePower_kW,2.71,kW,OK
2025-11-11 18:15:17.207284,BLD-PAR-001,EM-04A-F3,"Floor 1, Office A",ActivePower_kW,2.87,kW,OK
2025-11-11 18:16:43.607284,BLD-MAR-003,HVAC-01C-H2,"Floor 2, Server Room",Temperature_C,21.0,C,OK
2025-11-11 18:18:10.007284,BLD-MAR-003,EM-05B-G1,"Floor 1, Office A",Current_A,6.01,A,OK
2025-11-11 18:19:36.407284,BLD-MAR-003,EM-04A-F3,"Floor 3, Meeting Room",Current_A,3.27,A,OK
2025-11-11 18:21:02.807284,BLD-LYO-002,EM-05B-G1,"Floor 1, Office A",Current_A,1.02,A,OK
2025-11-11 18:22:29.207284,BLD-MAR-003,EM-04A-F3,"Floor 3, Meeting Room",Current_A,5.28,A,OK
2025-11-11 18:23:55.607284,BLD-LYO-002,EM-04A-F3,"Basement, HVAC Unit",Current_A,3.35,A,OK
2025-11-11 18:25:22.007284,BLD-LYO-002,EM-04A-F3,"Floor 3, Meeting Room",Current_A,2.71,A,OK
2025-11-11 18:26:48.407284,BLD-MAR-003,LIGHT-02D-I4,"Basement, HVAC Unit",Occupancy_Status,0.0,boolean,OK
2025-11-11 18:28:14.807284,BLD-MAR-003,LIGHT-02D-I4,"Basement, HVAC Unit",Occupancy_Status,1.0,boolean,OK
2025-11-11 18:29:41.207284,BLD-MAR-003,EM-04A-F3,"Floor 2, Server Room",ActivePower_kW,3.34,kW,OK
2025-11-11 18:31:07.607284,BLD-LYO-002,EM-05B-G1,"Floor 3, Meeting Room",Current_A,5.08,A,OK
2025-11-11 18:32:34.007284,BLD-PAR-001,HVAC-01C-H2,"Basement, HVAC Unit",Temperature_C,21.9,C,OK
2025-11-11 18:34:00.407284,BLD-LYO-002,LIGHT-02D-I4,"Basement, HVAC Unit",Occupancy_Status,0.0,boolean,OK
2025-11-11 18:35:26.807284,BLD-LYO-002,EM-05B-G1,"Floor 2, Server Room",Current_A,5.31,A,OK
2025-11-11 18:36:53.207284,BLD-MAR-003,LIGHT-02D-I4,"Basement, HVAC Unit",Occupancy_Status,1.0,boolean,OK
2025-11-11 18:38:19.607284,BLD-LYO-002,EM-05B-G1,"Floor 3, Meeting Room",ActivePower_kW,2.1,kW,OK
2025-11-11 18:39:46.007284,BLD-MAR-003,EM-04A-F3,"Basement, HVAC Unit",ActivePower_kW,0.86,kW,OK
2025-11-11 18:41:12.407284,BLD-PAR-001,HVAC-01C-H2,"Basement, HVAC Unit",Temperature_C,19.2,C,OK
2025-11-11 18:42:38.807284,BLD-MAR-003,LIGHT-02D-I4,"Basement, HVAC Unit",Occupancy_Status,0.0,boolean,OK
2025-11-11 18:44:05.207284,BLD-PAR-001,HVAC-01C-H2,"Floor 3, Meeting Room",Temperature_C,21.6,C,OK
2025-11-11 18:45:31.607284,BLD-PAR-001,EM-04A-F3,"Floor 1, Office A",ActivePower_kW,0.89,kW,OK
2025-11-11 18:46:58.007284,BLD-PAR-001,EM-05B-G1,"Basement, HVAC Unit",Current_A,6.55,A,OK
2025-11-11 18:48:24.407284,BLD-LYO-002,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,0.0,boolean,OK
2025-11-11 18:49:50.807284,BLD-LYO-002,EM-04A-F3,"Basement, HVAC Unit",ActivePower_kW,1.14,kW,OK
2025-11-11 18:51:17.207284,BLD-LYO-002,EM-05B-G1,"Basement, HVAC Unit",ActivePower_kW,3.98,kW,OK
2025-11-11 18:52:43.607284,BLD-LYO-002,EM-04A-F3,"Floor 2, Server Room",Current_A,13.12,A,OK
2025-11-11 18:54:10.007284,BLD-LYO-002,EM-05B-G1,"Basement, HVAC Unit",Current_A,6.95,A,OK
2025-11-11 18:55:36.407284,BLD-LYO-002,EM-04A-F3,"Floor 3, Meeting Room",ActivePower_kW,1.58,kW,OK
2025-11-11 18:57:02.807284,BLD-PAR-001,HVAC-01C-H2,"Floor 2, Server Room",Temperature_C,24.6,C,OK
2025-11-11 18:58:29.207284,BLD-MAR-003,HVAC-01C-H2,"Floor 1, Office A",Temperature_C,24.7,C,OK
2025-11-11 18:59:55.607284,BLD-MAR-003,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,0.0,boolean,OK
2025-11-11 19:01:22.007284,BLD-PAR-001,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,1.0,boolean,OK
2025-11-11 19:02:48.407284,BLD-MAR-003,LIGHT-02D-I4,"Floor 3, Meeting Room",Occupancy_Status,0.0,boolean,OK
2025-11-11 19:04:14.807284,BLD-LYO-002,LIGHT-02D-I4,"Floor 1, Office A",Occupancy_Status,0.0,boolean,OK
2025-11-11 19:05:41.207284,BLD-LYO-002,EM-04A-F3,"Basement, HVAC Unit",Current_A,13.84,A,OK
2025-11-11 19:07:07.607284,BLD-PAR-001,EM-04A-F3,"Basement, HVAC Unit",ActivePower_kW,1.9,kW,OK
2025-11-11 19:08:34.007284,BLD-LYO-002,EM-04A-F3,"Floor 2, Server Room",Current_A,6.72,A,OK
2025-11-11 19:10:00.407284,BLD-PAR-001,HVAC-01C-H2,"Basement, HVAC Unit",Temperature_C,20.0,C,OK
2025-11-11 19:11:26.807284,BLD-MAR-003,EM-05B-G1,"Floor 2, Server Room",Current_A,5.15,A,OK
2025-11-11 19:12:53.207284,BLD-PAR-001,LIGHT-02D-I4,"Floor 2, Server Room",Occupancy_Status,0.0,boolean,OK
2025-11-11 19:14:19.607284,BLD-LYO-002,HVAC-01C-H2,"Floor 1, Office A",Temperature_C,23.5,C,OK
2025-11-11 19:15:46.007284,BLD-PAR-001,EM-05B-G1,"Floor 1, Office A",Current_A,2.49,A,OK
